1573744787 INTERNAL *** MONITORD_STARTED ***
1573744785 INTERNAL *** DAGMAN_STARTED 10796859.0 ***
1573744789 create_dir_split_0_local-hcc SUBMIT 10796860.0 local - 1
1573744798 create_dir_split_0_local-hcc EXECUTE 10796860.0 local - 1
1573744801 create_dir_split_0_local-hcc JOB_TERMINATED 10796860.0 local - 1
1573744804 create_dir_split_0_local-hcc JOB_SUCCESS 0 local - 1
1573744804 create_dir_split_0_local-hcc POST_SCRIPT_STARTED 10796860.0 local - 1
1573744804 create_dir_split_0_local-hcc POST_SCRIPT_TERMINATED 10796860.0 local - 1
1573744809 create_dir_split_0_local-hcc POST_SCRIPT_SUCCESS 0 local - 1
1573744815 stage_in_local_local-hcc_1_0 SUBMIT 10796861.0 local - 2
1573744816 stage_in_local_local-hcc_1_0 EXECUTE 10796861.0 local - 2
1573744816 python3_ID0000003 SUBMIT 10796862.0 local-hcc - 3
1573744816 python3_ID0000005 SUBMIT 10796863.0 local-hcc - 4
1573744816 python3_ID0000007 SUBMIT 10796864.0 local-hcc - 5
1573744816 python3_ID0000001 SUBMIT 10796865.0 local-hcc - 6
1573744820 stage_in_local_local-hcc_1_0 JOB_TERMINATED 10796861.0 local - 2
1573744821 stage_in_local_local-hcc_1_0 JOB_SUCCESS 0 local - 2
1573744821 stage_in_local_local-hcc_1_0 POST_SCRIPT_STARTED 10796861.0 local - 2
1573744821 stage_in_local_local-hcc_1_0 POST_SCRIPT_TERMINATED 10796861.0 local - 2
1573744826 stage_in_local_local-hcc_1_0 POST_SCRIPT_SUCCESS 0 local - 2
1573744837 python3_ID0000005 GRID_SUBMIT 10796863.0 local-hcc - 4
1573744837 python3_ID0000003 GRID_SUBMIT 10796862.0 local-hcc - 3
1573744838 python3_ID0000007 GRID_SUBMIT 10796864.0 local-hcc - 5
1573744838 python3_ID0000001 GRID_SUBMIT 10796865.0 local-hcc - 6
1573744963 python3_ID0000001 JOB_TERMINATED 10796865.0 local-hcc - 6
1573744966 python3_ID0000001 JOB_SUCCESS 0 local-hcc - 6
1573744966 python3_ID0000001 POST_SCRIPT_STARTED 10796865.0 local-hcc - 6
1573744966 python3_ID0000001 POST_SCRIPT_TERMINATED 10796865.0 local-hcc - 6
1573744971 python3_ID0000001 POST_SCRIPT_SUCCESS 0 local-hcc - 6
1573744969 python3_ID0000005 JOB_TERMINATED 10796863.0 local-hcc - 4
1573744971 python3_ID0000005 JOB_SUCCESS 0 local-hcc - 4
1573744971 python3_ID0000005 POST_SCRIPT_STARTED 10796863.0 local-hcc - 4
1573744969 python3_ID0000007 JOB_TERMINATED 10796864.0 local-hcc - 5
1573744971 python3_ID0000007 JOB_SUCCESS 0 local-hcc - 5
1573744971 python3_ID0000007 POST_SCRIPT_STARTED 10796864.0 local-hcc - 5
1573744969 python3_ID0000003 JOB_TERMINATED 10796862.0 local-hcc - 3
1573744971 python3_ID0000003 JOB_SUCCESS 0 local-hcc - 3
1573744971 python3_ID0000003 POST_SCRIPT_STARTED 10796862.0 local-hcc - 3
1573744972 python3_ID0000003 POST_SCRIPT_TERMINATED 10796862.0 local-hcc - 3
1573744976 python3_ID0000003 POST_SCRIPT_SUCCESS 0 local-hcc - 3
1573744972 python3_ID0000005 POST_SCRIPT_TERMINATED 10796863.0 local-hcc - 4
1573744976 python3_ID0000005 POST_SCRIPT_SUCCESS 0 local-hcc - 4
1573744972 python3_ID0000007 POST_SCRIPT_TERMINATED 10796864.0 local-hcc - 5
1573744976 python3_ID0000007 POST_SCRIPT_SUCCESS 0 local-hcc - 5
1573744976 python3_ID0000002 SUBMIT 10796866.0 local-hcc - 7
1573744981 python3_ID0000004 SUBMIT 10796867.0 local-hcc - 8
1573744981 python3_ID0000006 SUBMIT 10796868.0 local-hcc - 9
1573744982 python3_ID0000008 SUBMIT 10796869.0 local-hcc - 10
1573744984 python3_ID0000002 GRID_SUBMIT 10796866.0 local-hcc - 7
1573744996 python3_ID0000008 GRID_SUBMIT 10796869.0 local-hcc - 10
1573744996 python3_ID0000006 GRID_SUBMIT 10796868.0 local-hcc - 9
1573744996 python3_ID0000004 GRID_SUBMIT 10796867.0 local-hcc - 8
1573745112 python3_ID0000002 JOB_TERMINATED 10796866.0 local-hcc - 7
1573745112 python3_ID0000002 JOB_SUCCESS 0 local-hcc - 7
1573745112 python3_ID0000002 POST_SCRIPT_STARTED 10796866.0 local-hcc - 7
1573745112 python3_ID0000002 POST_SCRIPT_TERMINATED 10796866.0 local-hcc - 7
1573745117 python3_ID0000002 POST_SCRIPT_SUCCESS 0 local-hcc - 7
1573745123 python3_ID0000004 JOB_TERMINATED 10796867.0 local-hcc - 8
1573745127 python3_ID0000004 JOB_SUCCESS 0 local-hcc - 8
1573745127 python3_ID0000004 POST_SCRIPT_STARTED 10796867.0 local-hcc - 8
1573745123 python3_ID0000006 JOB_TERMINATED 10796868.0 local-hcc - 9
1573745127 python3_ID0000006 JOB_SUCCESS 0 local-hcc - 9
1573745127 python3_ID0000006 POST_SCRIPT_STARTED 10796868.0 local-hcc - 9
1573745123 python3_ID0000008 JOB_TERMINATED 10796869.0 local-hcc - 10
1573745127 python3_ID0000008 JOB_SUCCESS 0 local-hcc - 10
1573745127 python3_ID0000008 POST_SCRIPT_STARTED 10796869.0 local-hcc - 10
1573745128 python3_ID0000008 POST_SCRIPT_TERMINATED 10796869.0 local-hcc - 10
1573745132 python3_ID0000008 POST_SCRIPT_SUCCESS 0 local-hcc - 10
1573745128 python3_ID0000004 POST_SCRIPT_TERMINATED 10796867.0 local-hcc - 8
1573745132 python3_ID0000004 POST_SCRIPT_SUCCESS 0 local-hcc - 8
1573745128 python3_ID0000006 POST_SCRIPT_TERMINATED 10796868.0 local-hcc - 9
1573745132 python3_ID0000006 POST_SCRIPT_SUCCESS 0 local-hcc - 9
1573745137 stage_out_local_local-hcc_1_0 SUBMIT 10796870.0 local - 11
1573745138 stage_out_local_local-hcc_1_0 EXECUTE 10796870.0 local - 11
1573745143 stage_out_local_local-hcc_1_0 JOB_TERMINATED 10796870.0 local - 11
1573745148 stage_out_local_local-hcc_1_0 JOB_SUCCESS 0 local - 11
1573745148 stage_out_local_local-hcc_1_0 POST_SCRIPT_STARTED 10796870.0 local - 11
